"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","REPORT_TYPE","SOURCE","AWND","CDSD","CLDD","DYHF","DailyAverageDryBulbTemperature","DailyAverageStationPressure","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","HDSD","HTDD","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySeaLevelPressure","HourlySkyConditions","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","REM","REPORT_TYPE","SOURCE","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","Sunrise","Sunset","WindEquipmentChangeDate"
"72793524234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2024-03-01T00:51:00","FM-16","6",,,,,,,,,,,,,,,,,,,,,"29.51","36","39",,"-RA:02 |RA |RA",,,"87",,"FEW:02 18 OVC:08 28","29.48","7.00","38","180",,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10803/01/24 00:51:02 SPECI KBFI 010851Z 18009KT 7SM -RA FEW018 OVC028 04/02 A2951 RMK AO2 RAB00 P0000 FIBI (CT)","FM-16","6",,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
"72793524234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2024-03-01T00:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,"29.51","35","39","0.01","-RA:02 BR:1 |RA |RA","-0.01","3","86","29.51","SCT:04 18 OVC:08 28","29.48","6.00","37","170",,"9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET13503/01/24 00:53:02 METAR KBFI 010853Z 17008KT 6SM -RA BR SCT018 OVC028 04/02 A2951 RMK AO2 RAB00 SLP992 P0001 60001 T00390017 53005 (CT)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
"72793524234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2024-03-01T01:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,"29.53","35","38","0.01","-RA:02 BR:1 |RA |RA",,,"89","29.53","SCT:04 20 BKN:07 26","29.50","6.00","37","180",,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET12603/01/24 01:53:02 METAR KBFI 010953Z 18009KT 6SM -RA BR SCT020 BKN026 03/02 A2953 RMK AO2 RAE16B46 SLP999 P0001 T00330017 (CT)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
"72793524234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2024-03-01T02:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,"29.52","34","37","T",,,,"89","29.52","SCT:04 18 BKN:07 29","29.49","10.00","36","150",,"8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11703/01/24 02:53:02 METAR KBFI 011053Z 15007KT 10SM SCT018 BKN029 03/01 A2952 RMK AO2 RAE10 SLP996 P0000 T00280011 (SN)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
"72793524234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2024-03-01T03:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,"29.52","33","38","0.00",,"-0.01","1","83","29.52","BKN:07 18 BKN:07 23","29.49","10.00","36","170","25","15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET13803/01/24 03:53:02 METAR KBFI 011153Z 17013G22KT 10SM BKN018 BKN023 03/01 A2952 RMK AO2 SLP996 60002 70016 T00330006 10039 20017 51004 (SN)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
"72793524234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2024-03-01T04:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,"29.52","34","37","T","-RA:02 |RA |RA",,,"89","29.52","BKN:07 18 OVC:08 33","29.49","10.00","36","160",,"8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET12103/01/24 04:53:02 METAR KBFI 011253Z 16007KT 10SM -RA BKN018 OVC033 03/01 A2952 RMK AO2 RAB19 SLP995 P0000 T00280011 (SN)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
"72793524234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2024-03-01T05:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,"29.52","34","37","T",,,,"89","29.52","BKN:07 18 OVC:08 33","29.49","10.00","36","140",,"8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET12903/01/24 05:53:02 METAR KBFI 011353Z 14007KT 10SM BKN018 OVC033 03/01 A2952 RMK AO2 RAE1258UPB1258E02 SLP995 P0000 T00280011 (SN)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
"72793524234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2024-03-01T06:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,"29.52","33","38","T","-RA:02 |RA |RA","0.00","5","83","29.52","BKN:07 18 OVC:08 33","29.49","10.00","36","150",,"7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET14103/01/24 06:53:02 METAR KBFI 011453Z 15006KT 10SM -RA BKN018 OVC033 03/01 A2952 RMK AO2 UPB18E22RAB22 SLP996 P0000 60000 T00330006 55000 (SN)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
"72793524234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2024-03-01T07:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,"29.53","33","38","0.00",,,,"83","29.53","BKN:07 18 BKN:07 42","29.50","10.00","36","150",,"8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11903/01/24 07:53:02 METAR KBFI 011553Z 15007KT 10SM BKN018 BKN042 03/01 A2953 RMK AO2 RAE1456 SLP999 P0000 T00330006 (LG)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
"72793524234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2024-03-01T08:51:00","FM-16","6",,,,,,,,,,,,,,,,,,,,,"29.51","34","39",,,,,"81",,"SCT:04 20 BKN:07 50","29.48","10.00","37","140",,"7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09303/01/24 08:51:02 SPECI KBFI 011651Z 14006KT 10SM SCT020 BKN050 04/01 A2951 RMK AO2 FIBI (LG)","FM-16","6",,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
